"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE277N235";NA;NA;NA
"10kmE277N236";NA;NA;NA
"10kmE277N237";NA;NA;NA
"10kmE277N238";NA;NA;NA
"10kmE277N239";NA;NA;NA
"10kmE277N242";NA;NA;NA
"10kmE277N243";NA;NA;NA
"10kmE277N488";NA;NA;NA
"10kmE277N489";NA;NA;NA
"10kmE277N490";NA;NA;NA
"10kmE277N491";NA;NA;NA
"10kmE277N492";NA;NA;NA
"10kmE277N493";NA;NA;NA
"10kmE277N494";NA;NA;NA
"10kmE277N499";NA;NA;NA
"10kmE277N500";2770000;5000000;0.846251339847817
"10kmE277N501";NA;NA;NA
"10kmE277N502";NA;NA;NA
"10kmE277N503";NA;NA;NA
"10kmE277N505";NA;NA;NA
"10kmE277N506";2770000;5060000;0.999993133170435
"10kmE277N507";NA;NA;NA
"10kmE277N508";2770000;5080000;0.999989460429771
"10kmE277N509";NA;NA;NA
"10kmE277N510";NA;NA;NA
"10kmE277N511";2770000;5110000;0.999961372431203
"10kmE277N512";2770000;5120000;NA
"10kmE277N513";NA;NA;NA
"10kmE277N514";NA;NA;NA
"10kmE278N172";NA;NA;NA
"10kmE278N173";NA;NA;NA
"10kmE278N231";NA;NA;NA
"10kmE278N232";NA;NA;NA
"10kmE278N233";NA;NA;NA
"10kmE278N234";NA;NA;NA
"10kmE278N235";NA;NA;NA
"10kmE278N236";NA;NA;NA
"10kmE278N237";NA;NA;NA
"10kmE278N238";NA;NA;NA
"10kmE278N242";NA;NA;NA
"10kmE278N243";NA;NA;NA
"10kmE278N488";NA;NA;NA
"10kmE278N489";NA;NA;NA
"10kmE278N490";2780000;4900000;NA
"10kmE278N491";NA;NA;NA
"10kmE278N492";NA;NA;NA
"10kmE278N493";NA;NA;NA
"10kmE278N494";NA;NA;NA
"10kmE278N495";NA;NA;NA
"10kmE278N499";NA;NA;NA
"10kmE278N500";2780000;5000000;NA
"10kmE278N502";NA;NA;NA
"10kmE278N503";NA;NA;NA
"10kmE278N504";NA;NA;NA
"10kmE278N505";NA;NA;NA
"10kmE278N506";NA;NA;NA
"10kmE278N507";NA;NA;NA
"10kmE278N508";NA;NA;NA
"10kmE278N509";NA;NA;NA
"10kmE278N510";NA;NA;NA
"10kmE278N511";NA;NA;NA
"10kmE278N512";NA;NA;NA
"10kmE278N513";NA;NA;NA
"10kmE278N514";NA;NA;NA
"10kmE279N171";NA;NA;NA
"10kmE279N172";NA;NA;NA
"10kmE279N173";NA;NA;NA
"10kmE279N231";NA;NA;NA
"10kmE279N232";NA;NA;NA
"10kmE279N233";NA;NA;NA
"10kmE279N243";NA;NA;NA
"10kmE279N244";NA;NA;NA
"10kmE279N487";NA;NA;NA
"10kmE279N488";NA;NA;NA
"10kmE279N490";NA;NA;NA
"10kmE279N491";2790000;4910000;NA
"10kmE279N492";NA;NA;NA
"10kmE279N493";NA;NA;NA
"10kmE279N494";NA;NA;NA
"10kmE279N495";NA;NA;NA
"10kmE279N496";NA;NA;NA
"10kmE279N497";NA;NA;NA
"10kmE279N498";NA;NA;NA
"10kmE279N499";NA;NA;NA
"10kmE279N500";NA;NA;NA
"10kmE279N502";NA;NA;NA
"10kmE279N503";NA;NA;NA
"10kmE279N504";NA;NA;NA
"10kmE279N505";NA;NA;NA
"10kmE279N506";2790000;5060000;0.99999050751514
"10kmE279N507";NA;NA;NA
"10kmE279N508";NA;NA;NA
"10kmE279N509";NA;NA;NA
"10kmE279N510";NA;NA;NA
"10kmE279N511";NA;NA;NA
"10kmE279N512";2790000;5120000;0.999973667032993
"10kmE279N513";NA;NA;NA
"10kmE279N514";2790000;5140000;NA
"10kmE279N515";NA;NA;NA
"10kmE280N170";NA;NA;NA
"10kmE280N171";NA;NA;NA
"10kmE280N172";NA;NA;NA
"10kmE280N173";NA;NA;NA
"10kmE280N243";NA;NA;NA
