FID_1;x_etrs;y_etrs;Baleen_wha;breed_bird;Baleen_w_1;breed_bi_1;Coastal;deeptooth;FishSpec;deeptooth_;FishSpec_D;Offshore;Saltmarsh;Seagrass;Seal;Seamounts;Smalltooth;Turtles;Smalltoo_1;Turtles_D;Cold_coral;Abyssal;CircaCS;CircaMS;CircaMud;CiOrOffMd;CircaRBR;CircaSand;InfraCS;InfraMS;InfraMud;InfraRBR;InfraSand;Na;OffCiCS;OffCiMS;OffCiCS_D;OffCiMS_D;OffCiMud;OffCiRBR;OffCiMud_D;OffCiRBR_D;OffCiSand;Bathy;Region;FID_2;CellCode;EofOrigin;NofOrigin
246;4425000;3455000;0.00000000000;0.04000000000;0.00000000000;0.04000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.022453333;0;0.442818726;0;0;0.078865842;0.135768133;0;0.106678569;0;0.213415397;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231442;10kmE442N345;4420000;3450000
258;4435000;3455000;0.00000000000;0.04000000000;0.00000000000;0.04000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.032429191;0;0.47533901;0;0;0.102990122;0.176832309;0;0.017369231;0;0.180479083;0.003275905;0;0;0.00000000000;0.00000000000;0.011285149;0;0.01128514900;0.00000000000;0;0;;231443;10kmE443N345;4430000;3450000
270;4445000;3455000;0.00000000000;0.04000000000;0.00000000000;0.04000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;1;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.034648903;0;0.106243119;0;0;0.523357698;0.205468286;0;0.000767392;0;0.128746716;0.000767887;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231444;10kmE444N345;4440000;3450000
281;4455000;3455000;0.00000000000;0.20000000000;0.00000000000;0.20000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.005155442;0;0;0;0;0.185685038;0.161858778;0;0;0;0.623159649;0.024141094;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231445;10kmE445N345;4450000;3450000
296;4465000;3455000;0.00000000000;0.20000000000;0.00000000000;0.20000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.39095677;0;0;0;0.548282059;0.060761172;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231446;10kmE446N345;4460000;3450000
398;4535000;3455000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;0.50000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.072789655;0;0.656244517;0;0;0.270965827;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231453;10kmE453N345;4530000;3450000
414;4545000;3455000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.12500000000;0.00000000000;0.12500000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.3228269;0;0.224987137;0;0.383302125;0.068883838;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231454;10kmE454N345;4540000;3450000
429;4555000;3455000;0.00000000000;0.28000000000;0.00000000000;0.28000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;1;1.00000000000;0;0.12500000000;0.00000000000;0.12500000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.214122366;0;0.034650345;0;0.750522274;0.000705014;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231455;10kmE455N345;4550000;3450000
446;4565000;3455000;0.00000000000;0.28000000000;0.00000000000;0.28000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.019623338;0;0.633406366;0;0.335223669;0.011746627;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231456;10kmE456N345;4560000;3450000
465;4575000;3455000;0.00000000000;0.28000000000;0.00000000000;0.28000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.12500000000;0.00000000000;0.12500000000;0.00000000000;0.00000000000;0;0.066341301;0;0.006041442;0;0;0.248718819;0.105435236;0;0.083073112;0;0.49039009;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231457;10kmE457N345;4570000;3450000
